# Expected differences between a290-ha-addon and r5-ha-addon, after scripts/parity/map.tsv.
# Read by scripts/parity_check.py; the decision behind it is ADR 0001 (docs/adr/ in a290).
#
# Columns, tab-separated: category, path, side, match, count, reason.
#   category  model    a genuine per-car difference (endpoint behaviour, renders, branding)
#             legacy   r5 keeps Topolino65's names where a290 does not. Decided 2026-09-26
#                      (ADR 0001): r5 moves to a290's descriptive names in one migration
#                      release, so these entries, and map.tsv's legacy rules, go with it
#             local    belongs to one repository by nature
#             noise    versions, release history, binaries: expected to differ for good
#             pending  drift or a port not yet made. The reason names a Target:, and the
#                      entry is deleted when that lands. This list is the port backlog.
#   path      glob on the a290-named path (`*` also crosses `/`)
#   side      a290 | r5 | both: whose lines the entry covers
#   match     *            every differing line of the file (and a changed binary)
#             only         the file exists on that side only
#             re:<regex>   differing lines matching the regex
#             hunk:<regex> every line of each changed block that has a line matching it
#             py:<a,b>     differing lines owned by these top-level Python symbols
#             mode         the file's mode differs (e.g. 100755 vs 100644), side both. Only this
#                          excuses a mode difference; `*` covers content, never modes
#   count     exactly how many differing items the entry covers. `*` = any number, allowed
#             only with match `*`, and printed as unguarded on every run.
#
# Each differing item goes to the FIRST entry that takes it, so the more specific entry comes
# first. The check fails on an item no entry takes, an entry that takes nothing (the
# difference is gone: delete it) and a count that is off by any amount (a new line joined an
# old excuse, or an item was partly fixed: look, then edit). Never raise a count without
# reading what the check printed under it.
#
# Audit ids (P-B1, H-D5, ...) refer to the 2026-09-26 parity baseline summarised in the RFC
# cited by ADR 0001. "RFC open difference" means the RFC's table of behaviours to decide.

# ---------------------------------------------------------------- releases, binaries
noise	alpine_a290/CHANGELOG.md	both	*	*	each add-on has its own release history and version numbers
pending	alpine_a290/app/deploy.py	both	py:_CHARGER_ENTITIES	4	a290's comment still says the charger block renders as an entities card (audit P-D7, stale). Target: fix the a290 comment
model	alpine_a290/app/deploy.py	both	py:_CHARGE_TARGET_REC	4	"Alpine's recommended" vs "The recommended" charge target
pending	alpine_a290/app/deploy.py	both	py:_fetch_dashboard,_REFRESH_LOCATION_BUTTON,_references,_drop_cards_referencing,_deploy_one,run_deploy	37	r5's dashboards carry a Refresh Location tile, pruned when the button is withheld; a290's have no such tile (audit H-D4, a product decision); plus two comments. Target: owner decision on the tile, then one implementation
pending	alpine_a290/app/deploy.py	both	py:_WS	2	one comment. Target: converge, either way

# ---------------------------------------------------------------- dashboards
pending	alpine_a290/dashboards/front-end*.txt	r5	hunk:name: Refresh Location	34	the Refresh Location tile, on both r5 dashboards (see deploy.py); on front-end.txt the same changed block also holds the Last Updated card's pre-mushroom-v5 card_mod keys (a290 #164). Target: owner decision on the tile; the keys go with the #164 port
pending	alpine_a290/dashboards/front-end.txt	both	re:sensor\.(a290_)?test_	32	a290's test-mode package is namespaced a290_test_*; r5's is bare test_* (audit H-C4). Target: port to r5 with Packages/a290_test.yaml
pending	alpine_a290/dashboards/front-end.txt	r5	hunk:name: Cabin Temp	14	r5's Cabin Temp card; the A290 never returns cabin temperature. Target: follows the cabin-temperature decision
pending	alpine_a290/dashboards/front-end.txt	r5	hunk:^\s+name: (Initial|Uplift)$	16	r5 still has duplicate Initial and Uplift tiles, and Initial is mislabelled (audit H-C5). Target: remove from r5
pending	alpine_a290/dashboards/front-end.txt	r5	hunk:name: Start Charging	18	r5's standard dashboard keeps a greyed-out Start Charging tile (audit H-D5). Target: owner decision, then one dashboard
pending	alpine_a290/dashboards/front-end.txt	both	re:API request failed due to an authentication|Auth Failure\*\* card	4	alarm-card wording ("An Alpine API" / "API Auth Failure" on a290). Target: port a290's wording to r5
model	alpine_a290/dashboards/front-end-bubble.txt	both	re:^  - title:	2	the Bubble view title names the car
pending	alpine_a290/dashboards/front-end-bubble.txt	both	re:# Ghost tile:	2	comment wording on the disabled charge tile. Target: converge, either way

# ---------------------------------------------------------------- repo config and CI
pending	.github/workflows/ci.yaml	a290	hunk:name: Parity with r5	22	this check's CI job. Target: r5 adds its own, checking out a290's main (ADR 0001 row 2)
pending	justfile	both	hunk:parity	22	this check's recipes, and parity-self-test in `ci`. Target: r5 adds them (ADR 0001 row 2)
pending	.github/workflows/ci.yaml	both	re:uses: \S+@[0-9a-f]{40} +#	24	pinned-action comments: two spaces on a290, one on r5, and r5 names exact tags (v3.1.1, v2.21.1) where a290 says v3, v2. The house rule wants an exact upstream tag. Target: r5's exact tags into a290, one spacing in both
pending	.github/workflows/ci.yaml	both	re:--cov-fail-under=	2	coverage floor 95 on a290, 90 on r5; r5 measures 98 (RFC open difference). Target: 95 in r5
pending	justfile	both	re:--cov-fail-under=	2	as ci.yaml. Target: 95 in r5
pending	.github/workflows/ci.yaml	both	hunk:declared minimum HA must	2	comment wording. Target: converge, either way
pending	.github/workflows/ci.yaml	both	hunk:optional test package|ported template package	2	comment follows the bundled-template difference. Target: follows the Templates decision
pending	.github/workflows/ci.yaml	both	hunk:a VIN in a test fixture|pair of public add-on repos	5	PII-step comment wording. Target: converge, either way
pending	.github/workflows/ci.yaml	both	re:BUILD_FROM|FROM ghcr.io/home-assistant/base	4	the same comment on the build step, in a different place. Target: one place in both
pending	.github/workflows/ui-tests.yaml	both	hunk:NOT the prose in there	42	the path-filter comment names each repo's own dashboard docs. Target: follows the dashboard-docs reconciliation
pending	.github/workflows/ui-tests.yaml	both	hunk:Path-filtered so it only runs when	5	a290's header also names deploy.py as a render input. Target: port to r5
pending	.github/workflows/ui-tests.yaml	a290	re:alpine_a290/app/catalog\.py	2	a290's alarm pass derives its sensors from catalog.py (#152). Target: r5's harness PR porting #152
pending	.github/workflows/refresh-screenshots.yaml	both	hunk:cp ui-tests/screenshots/	17	screenshot names follow each harness's dashboard slugs, and a290 keeps the committed pop-up shot when it was not captured (#144). Target: r5's harness PR porting #144
local	.github/workflows/renault-api-watch.yaml	r5	re:Ported from the A290 twin	1	r5's provenance note pointing at a290
pending	.github/workflows/renault-api-watch.yaml	both	re:cron:	2	schedule comment wording. Target: converge, either way
pending	.github/workflows/renault-api-watch.yaml	both	hunk:sort -V ranks	8	a290's comment also covers compound versions such as 0.5.14rc1.dev2. Target: port a290's comment to r5
pending	.github/workflows/renault-api-watch.yaml	a290	re:ha_cadence_watch\.py|--paginate, or only|a failed listing must fail	3	a290 explains --paginate and the failure mode; r5 has the same code without the comment. Target: port the comment to r5
pending	.github/renovate.json	both	re:"Strict vX\.Y\.Z	4	rule descriptions worded differently for the same strict-tag rule. Target: converge, either way
pending	.github/templates/renault-api-release.md	both	*	36	a290's issue template carries the upstream #2254/#2255 notes, r5's lists what test_api_contract covers (audit H-B3); the mirror direction differs (H-D8). Target: merge the model-agnostic parts both ways
pending	.gitignore	both	*	20	section order differs; a290 ignores .bak* backups of settings.local.json; r5 ignores a local reference/ checkout. Target: port .bak* to r5, one section order
pending	.trivyignore	r5	*	3	r5 still ignores AVD-DS-0026 (no HEALTHCHECK) although its Dockerfile has one (audit H-D2). Target: delete from r5
pending	.yamllint	a290	*	4	a290 exempts dashboards/ because it bundles upstream YAML packages there. Target: follows the Packages/Templates decision
pending	scripts/docs_cite_ignore.txt	both	*	3	the comment follows the bundled-template difference. Target: follows the Templates decision

# ---------------------------------------------------------------- UI harness (r5's harness PR is in flight)
pending	ui-tests/run.sh	both	hunk:extra_module_url|default_config	7	a290 loads card-mod as a frontend module to win the styling race. Target: r5's harness PR
pending	ui-tests/run.sh	both	hunk:Alarm pass|check_overflow\.py" --base	15	a290 re-renders once per pass seed.py derives, each a state production can publish (#152, reworked by #161). Target: r5's single harness PR (porting #152 and #161)
pending	ui-tests/run.sh	both	re:HERE/seed\.py" --base	2	a290's seed writes the manifest the main pass is checked against (#161); r5's seeds without one. Target: r5's single harness PR
pending	ui-tests/check_overflow.py	both	*	378	a290 has the pop-up hardening (#144), the alarm pass (#152) and the card-mod wait; r5 does not yet. Target: r5's harness PR, then per-symbol entries for what legitimately differs
pending	ui-tests/seed.py	both	*	295	as check_overflow.py, plus card-mod loaded as a module on a290 (#154) but a resource on r5, the production-reachable passes (#161), and about 40 legitimate model tokens. Target: r5's single harness PR, then per-symbol entries
pending	ui-tests/README.md	both	*	60	harness documentation follows the harness (#161 rewrote the passes section). Target: r5's single harness PR

# ---------------------------------------------------------------- prose and tests, excused wholesale
# These are the only unguarded entries (count *): drift inside them is not caught. They are
# hand-maintained per repo today, and pinning a count would make every edit bump it blindly.
pending	alpine_a290/tests/test_*.py	both	*	*	tests are largely rewritten per repo (test_runtime.py is 14% line-identical). Target: B1/B2 move the shared tests into the core; before that, r5's stronger tests (P-B3 to P-B7) port to a290 and a290's (P-C4, P-C5, P-C7) to r5
pending	alpine_a290/DOCS.md	both	*	*	each add-on's options page; 38% shared. r5's claim that its entities bind straight to Topolino65 was corrected in r5 #102 (ADR 0001). Target: reconcile with r5's naming migration release
pending	README.md	both	*	*	repository README; 44% shared. Target: same as DOCS.md
pending	CLAUDE.md	both	*	*	each repo's session instructions; 65% shared. Target: same as DOCS.md
pending	alpine_a290/README.md	both	*	39	the add-on's store README. Target: same as DOCS.md
pending	docs/dashboards-on-mobile.md	both	*	15	r5 claims the screenshots auto-refresh, which is false there (audit H-D3), plus rewrapping. Target: fix r5's claim, then rewrap
# ---------------------------------------------------------------- Supervisor pilot + AppArmor pin (a290 #160, ADR 0002)
pending	.github/workflows/supervisor.yml	a290	only	1	the Supervisor pilot workflow (ADR 0002). Target: r5 mirrors it (ADR 0002 row 10)
pending	scripts/supervisor-pilot.sh	a290	only	1	the Supervisor pilot script (ADR 0002). Target: r5 mirrors it (ADR 0002 row 10)
pending	alpine_a290/apparmor.txt	both	*	10	a290 pins `abi <abi/3.0>,` (runner-proven: denied without it on parser 4.1.0, #160) and its comments cite the pilot. Target: r5 pins the ABI with its pilot (ADR 0002 row 10)
pending	.github/workflows/ci.yaml	a290	hunk:ShellCheck \(Supervisor pilot\)	2	ShellCheck step for the pilot script. Target: r5 adds it with the pilot
pending	justfile	both	re:^\s+shellcheck alpine_a290/run\.sh	2	`just lint` also shellchecks the pilot script. Target: r5 adds it with the pilot
pending	.github/renovate.json	both	hunk:Supervisor pilot	25	Renovate rule and manager for the pilot's digest-pinned images. Target: r5 adds them with the pilot
# --- pilot dashboard probe (a290 follow-up to #160)
# The probe lives in the two a290-only pilot files above, which their `only` entries already
# take whole, and in ADR 0002 row 11 (docs/adr/*, local). A per-line entry here would take
# nothing and fail as stale. Target: r5 mirrors it with the pilot (ADR 0002 row 10); when
# r5 gains its pilot, those `only` entries become per-line ones and the probe's go here.
# ---------------------------------------------------------------- mushroom v5 template-card styling (a290 #164, 1.28.4)
pending	alpine_a290/app/deploy.py	both	py:_TILE_DISC,_TILE_WRAP,_TILE_STYLE,_offpeak_badge	24	a290 #164 styles the off-peak badge for mushroom v5's tile parts and lets it wrap; r5 still targets mushroom-shape-icon$. Target: r5 ports #164 (deploy.py part)
pending	alpine_a290/dashboards/front-end*.txt	both	re:^\s+(# Mushroom v5 builds the template card|# not mushroom-shape-icon/mushroom-state-info|# entity cards to reach the same 55px disc|# Template card: tile selectors|ha-tile-icon\$:|\.: ha-tile-icon\{|mushroom-shape-icon\$:|mushroom-state-info\$:|\.: ha-card\{background:none !important;box-shadow:none !important;border:none !important;\}$)	27	a290 #164 re-targets the LOCATION and Last Updated template cards' card_mod at mushroom v5's tile parts (ha-tile-icon$); r5's still name mushroom-shape-icon$/mushroom-state-info$, which v5 no longer renders. Target: r5 ports #164 (dashboards part). Listed last on purpose: the r5-only tile hunks above claim their own mushroom-* keys first
